Age,Income,Experience_Years,Monthly_Spending,Purchased
22,25000.0,1,1200.0,No
25,32000.0,2,1800.0,No
28,40000.0,3,2500.0,Yes
31,52000.0,5,4200.0,Yes
35,65000.0,7,5600.0,Yes
24,28000.0,1,1500.0,No
29,45000.0,4,3100.0,Yes
40,72000.0,10,6800.0,Yes
21,22000.0,0,900.0,No
27,38000.0,3,2300.0,Yes
33,58000.0,6,4800.0,Yes
26,35000.0,2,2000.0,No
45,85000.0,15,8200.0,Yes
23,27000.0,1,1300.0,No
30,50000.0,5,3900.0,Yes
37,70000.0,9,6200.0,Yes
32,54000.0,5,4100.0,Yes
20,21000.0,0,800.0,No
28,,3,2600.0,Yes
34,61000.0,7,,Yes
25,30000.0,2,1700.0,No
42,78000.0,12,7400.0,Yes
29,43000.0,4,3000.0,Yes
22,24000.0,1,1100.0,No
36,68000.0,8,5900.0,Yes
27,36000.0,3,2200.0,No
39,75000.0,11,7000.0,Yes
31,48000.0,5,3700.0,Yes
24,26000.0,1,1400.0,No
43,82000.0,14,7900.0,Yes
31,52000.0,5,4200.0,Yes
